SARS-CoV-2_L2FC,padj_SARS-CoV-2
ATP2B4,-0.1193468113,0.5249433133
FBXO44,0.0510811358,0.891088257
STAG1,-0.0382022058,0.9255852292
C6orf89,0.0199253612,0.9428681122
UNC119B,-0.2830135309,0.2126945822
TANC1,0.0464554907,0.8651140926
UQCRB,-0.1605708719,0.3281517477
PIK3CB,-0.2090717449,0.5524828629
ARID2,-0.0847236684,0.7437820465
BAD,0.116406605,0.8638460658
LARS,-0.0131107226,0.9768646531
ARF5,0.0201130315,0.9439100405
C8orf82,0.0730845809,0.9133761992
ZNF160,-0.0984051057,0.6755524951
CNOT1,-0.1635183621,0.2891678901
TSPAN1,-0.0539281494,0.8783054234
KIN,-0.0498465249,0.9297164847
DOHH,0.2338010677,1
NT5C,0.0006109049,0.9989807717
RPP40,0.2240564923,0.6837417631
ZNF471,-0.1091781842,0.7866091054
FAM195A,0.2033286575,0.7522054484
RPRD1B,-0.222292237,0.1852201619
EPB41,0.0189672751,0.954237321
TP53TG1,-0.0477717213,0.9030387046
STAMBP,-0.0811718847,0.8042962312
PDPK1,0.0074204601,0.9815083528
RPS4X,0.0026247909,0.9951875405
LINC00630,-0.1349614359,0.875758076
MRPL41,0.0966912502,1
IDE,-0.0567123351,0.883083881
RPL23,-0.1242097776,0.608856922
SRP14,0.0896756757,0.629220602
ACBD6,-0.2110156243,0.2807653996
CTBP1,0.0075887948,0.9889858605
SYNE4,0.165742592,0.8344680965
MOB2,-0.0052670833,0.9930473137
UBE2J2,-0.0327465663,0.9422697368
PDZD11,-0.0306972758,0.933262517
RPS15A,0.1834655451,0.4433897222
MTF1,0.0405736223,0.89038159
AIG1,0.0415209062,0.930153962
GSTZ1,-0.04687188,0.9227694088
MGAT5,0.0376067061,0.8928365613
WDR85,0.0344163383,0.9403498386
LUC7L,0.2242031841,0.4520111901
FBXW2,0.0838203407,0.7461955002
GNB2L1,0.1338240391,0.6006998608
RGP1,0.1005064642,0.722665682
TMCO1,-0.0618465099,0.7853187072
CHMP6,0.1246230787,0.8226219492
RPS27,0.0914524678,0.8040289614
RRP7A,0.0041289288,0.9930473137
NTPCR,-0.1346945753,0.759128902
PLEKHG1,-0.0739541008,0.8740249078
NDUFB8,0.3737837655,0.0908366529
PPIA,0.1170236905,0.7208349246
EIF4B,0.1267395133,0.6116469621
TMEM9,0.0297858786,0.9265442048
NOA1,0.0426578177,0.9085962071
OCRL,0.0373599628,0.9212049727
ZSCAN29,0.0080296846,0.9831464953
GPSM1,0.1116320672,0.8635939361
FRYL,-0.1353885931,0.6318623487
TEX2,-0.0350688272,0.8937734503
FAM89B,0.1118729445,0.8423615629
C1QBP,0.0324606816,0.9256679432
C4orf48,-0.1848992877,1
BCL7C,-0.0114272655,0.9884345849
IGSF3,0.0424789168,0.852053128
PEX14,0.0400951304,0.9431158845
LEMD2,-0.0302514038,0.9132084192
SNRPB,-0.0032731372,0.9935825712
TCF12,-0.093112765,0.7500279342
METAP1,-0.0454460327,0.862671604
HSD17B1,0.009885274,0.9916394549
TMEM205,0.0087586167,0.9883671432
CENPB,0.1773286714,0.3686651445
COX6A1,0.1144016855,0.7742972584
DYRK4,0.1839544405,0.5555832495
PRKCDBP,-0.300435509,0.4271925946
TTC3,-0.126216262,0.5510092232
UBE2M,0.2240177659,0.2126945822
ZNF736,-0.1538804184,0.8257429949
DNAJC16,-0.1718352115,0.5867758081
C7orf50,0.0651291741,0.9128318788
PAFAH1B3,0.0735523912,0.898993251
EIF4G1,0.2112611136,0.0959617615
SNAPIN,-0.1834383191,0.5710448027
DUSP3,0.0463917848,0.8586582008
ENSA,0.0227494625,0.9325685294
SFRP1,-0.3016335552,0.0529367069
DYNLRB1,0.0205376552,0.9429129468
PSMB1,0.0246289132,0.9389671265
TMA7,-0.0682124298,0.7845982536
RPS24,-0.042743973,0.89038159
CCDC53,-0.1523166697,0.5314358284
ZCCHC14,-0.0125084822,0.9808120618
RNPEP,0.0480151265,0.8518471479
PPP2R2D,0.0863971153,0.7818425234
PNKP,-0.0031263991,0.9956327219
TSFM,0.2332593114,0.3623389125
RBX1,0.2529739851,0.3077208175
ZNF614,0.0058764608,0.9930473137
CHST12,-0.0216079005,0.9790408908
FAT1,0.1786241971,0.0665489303
DYRK2,-0.1413205206,0.6495721087
FCGRT,-0.0948923216,0.8788364373
ANKRD52,0.0655325258,0.7472912198
MSRB2,-0.1460629549,0.7208349246
FAM168B,0.0303658873,0.9041228304
SNX21,-0.0382944966,0.9642208469
PRKCA,-0.102394631,0.7572678361
CETN2,-0.1263284972,0.7050366769
LOC439994,-0.5766953569,0.2643644269
RABEP1,-0.0254920207,0.9431158845
URB1,0.1463127818,0.4054357459
RASSF6,-0.1583160158,0.3756928781
NDUFS5,0.1046352104,0.7886516862
SLC35D1,-0.3808219267,0.0538898259
RPL36AL,0.15568904,0.3940484243
KAT8,-0.009533603,0.9877237447
ZNF580,-0.0596136288,0.9155064392
C1orf116,-0.0248963385,0.8997644969
MLL3,0.0185322047,0.9439100405
RAB3D,0.0863582474,0.7414686906
TMTC2,-0.000117021,0.999861191
ZNF550,0.1173132648,0.8395585971
TMEM14A,-0.0654015289,0.9014311672
ZNHIT3,0.0625548919,0.9055844865
WDR26,-0.1627005999,0.5141440241
CHCHD3,0.0134126073,0.9686765145
THOC1,0.0147216625,0.9798748755
MON1B,0.0142563506,0.9787398109
PUM1,0.063939536,0.761621757
RALGAPB,-0.1136516125,0.72061495
TP53RK,0.2947976857,0.3827411767
CCDC69,0.1094095443,0.7853187072
ZNF304,0.0043703103,0.9943267095
TUBGCP4,0.1083430984,0.7385851322
C6orf203,-0.0613736468,0.8899991415
DUT,-0.2476270637,0.4817979537
OAZ2,-0.0650510378,0.8485051904
BANF1,0.0955897567,0.761621757
RAB7A,-0.0304558025,0.9252720066
NSMCE4A,0.1426530424,0.7441401402
NAT6,0.2639865527,0.4369310969
METTL13,0.1651548424,0.4693522484
PPP1R35,-0.1770823808,0.6949529083
PDHB,0.066797789,0.8573164574
PSMB5,0.1929211598,0.1949879075
ISY1,-0.1434986284,0.771535244
EPRS,-0.0029763397,0.993784434
ADIRF,0.0449897021,1
ADNP,-0.1108478219,0.5991331429
DVL1,0.0521793881,1
IPO8,-0.1547210638,0.6234739155
ZNF551,-0.2138865256,0.6409771263
THOC7,-0.082745208,0.8122657843
SEC24C,0.1831097295,0.1274349964
HINT2,-0.1927794206,0.7027592467
USP24,-0.0349764141,0.9259954966
MRPL23,-0.0616742997,0.8688329062
TESK1,0.1001337337,0.7815885362
LRP1,-0.0566810723,1
NSMCE2,0.1064526509,0.7943046475
MGST3,0.1365039446,0.5793744926
MARVELD2,-0.0920654922,0.7522054484
ALS2,0.0170251505,0.9644847247
PHB2,0.1102960736,0.5323021302
TSR1,0.0901940672,0.661837654
NDUFA6,-0.0580573202,0.866202385
SHROOM1,0.1194072483,0.853730615
CLSTN3,0.0603909015,0.8549280988
RPL13A,-0.1555987518,0.6246900808
CCDC104,-0.0505579966,0.8884464987
C17orf89,-0.0642702123,0.89038159
MESDC2,-0.1443237002,0.5098645508
FAM179B,-0.0176909877,0.9705297266
CNOT6,-0.0296005631,0.9426177912
S100A14,0.0624439586,0.7698309521
EWSR1,0.0539550307,0.8392153916
ARFIP2,0.235818715,0.1745814175
RAB13,0.1731659592,0.374437014
ATRAID,-0.0154980793,0.9705297266
TBC1D4,-0.2268691773,0.465296383
ZMYND19,0.0613196729,0.9030387046
MARCH2,0.2577447227,0.4650807985
SP1,-0.0584496861,0.7993708555
NAA25,-0.1016963238,0.7362915541
PHF5A,0.078733184,0.8319039249
ERLIN1,-0.0820612076,0.780645182
TRIM7,-0.012463153,0.9790408908
F2R,-0.32384061,0.1044348339
ZNF787,-0.1638555462,0.7623268636
CCDC12,0.0253696651,0.9687679773
PSD3,-0.2365074911,0.1801723427
TRIM37,0.0023409627,0.9966067889
USP22,0.056787737,0.7943108607
ST6GALNAC2,-0.2377310757,0.2436265677
HMGN1,-0.0854147393,0.8097766581
SOCS4,-0.1258792305,0.8243223185
TAF1,-0.01855706,0.964318156
ADAT3,0.1791584942,1
MBIP,-0.2349145967,0.5903710792
HSBP1L1,-0.1812771681,0.5631271627
ATP5C1,-0.2400468436,0.1878869327
TMED8,-0.1767728401,0.8073247644
CHD9,-0.1033561624,0.7522938136
COX7B,-0.0275873951,0.9439100405
ERLIN2,-0.1786843477,0.3096248645
MRPL33,0.1529503968,0.6018395571
ANKRD9,-0.0260582118,0.978344052
C19orf43,0.06586387,0.7625909587
TPM2,0.0108915915,0.9815083528
AP3M1,-0.1130890438,0.6023079211
TSEN54,0.3642534022,0.3608387262
RDH14,0.0028253152,1
CCDC85B,-0.3427547628,0.4878471415
TNKS,-0.0562668831,0.8560115365
KIAA0754,0.0012987063,0.9983619342
SRCRB4D,0.0489061543,0.9568379941
SIVA1,-0.0722033047,1
CIR1,0.0004763972,0.998851413
TMEM55B,-0.0558947777,0.896983723
SNRNP35,0.0437508374,0.9325685294
ADAL,-0.1302973818,0.8392153916
CDC42EP1,0.4086071578,1
ZNF706,-0.0958366388,0.7638389702
SH3D19,-0.0625257129,0.8549280988
VSIG2,-0.0830461581,0.9020992914
ZNF428,0.0457149048,0.9442553013
PHIP,-0.3507629439,0.0603035811
R3HCC1,0.0555631885,0.8978702745
UBR4,0.1466153105,0.1591264004
ANK3,-0.3460986503,0.0521395807
PXMP2,-0.0816465325,0.9252720066
ERCC6,-0.0827964699,0.7998526635
MRPL1,-0.1857202777,0.74286527
ZNF674-AS1,0.1496040983,0.85924201
DMXL2,-0.167344321,0.4934119621
SMG8,0.1331771344,0.6334495602
ZNF667,0.0655042969,0.9325685294
PUS1,0.2755434476,0.5338041394
MRPL50,0.0014970718,0.9982053242
ATG2B,-0.182623775,0.4817979537
DCAF7,0.0167034012,0.9611179573
APC,-0.214026092,0.235783573
LZTS2,0.012939212,0.9808120618
TRIM4,-0.1734804706,0.4240303658
MRPL11,-0.0538269035,0.9153352014
RGS10,0.1518396516,0.6397487613
RAPGEF6,-0.1011159723,0.7943108607
BTF3,0.0027084318,0.9930473137
OSBP,-0.0259011335,0.9393557177
BOLA3,0.0138116047,0.9802686554
BIRC6,-0.0418994983,0.9002922622
SART1,0.1047191436,0.7572678361
MIS12,-0.2312702193,1
MGC72080,0.0408409724,0.9395161163
HCG11,-0.1181555409,0.8788364373
RNMT,-0.1669654802,0.4330985672
NDUFB9,0.0728548299,0.7644310301
ASH1L,-0.1069724496,0.6483448611
LAMTOR1,-0.0578030526,0.8551938064
C15orf40,-0.1499699601,0.7432496183
USP47,-0.168773514,0.3525289666
FAN1,-0.059836046,0.8588712596
NGDN,0.0067980041,0.9873325622
TNFRSF12A,0.1715027524,0.4131550418
MUC4,0.1279285352,1
MGA,-0.2128048826,0.4047844895
SHPRH,-0.2373499548,0.4187576991
CTU1,-0.2058356795,0.7863597016
KIAA1429,-0.0460732213,0.8871719794
PSMG1,-0.2973949485,0.3642562866
CEP97,-0.2759484707,0.4058296054
RP9P,-0.141163851,0.8435271487
EVA1B,-0.1555930531,1
NEU3,-0.1178268489,0.8234383423
COX6B1,-0.0624243358,0.7942483659
BAZ2B,-0.0602354944,0.8321592914
ATP5L,0.0435169684,0.8875400946
NCR3LG1,-0.474768295,0.2767198407
GSTO2,-0.0639799517,0.8901441699
PHF20,0.0245258326,0.9431158845
NAT14,-0.1821132806,0.76328931
ALDH7A1,0.0306544656,0.9235800827
RANBP6,-0.4223271262,0.140724332
TMEM160,-0.076498473,0.9416724698
MARCH9,0.2228584057,0.4487508485
CD9,-0.0150174434,0.9758344836
CIRBP,0.0765458159,0.7623268636
GAMT,-0.4634149929,0.1263888183
EXOSC6,0.0266559294,0.963732302
LRP6,-0.050943364,0.8950873623
ECH1,0.0780561478,0.8594414201
FRAS1,0.0091312848,0.9802686554
NFU1,0.0949738113,0.7886516862
MBD2,-0.1380905654,0.6792745601
SNRPD3,0.2354381105,0.0784801392
EXOSC9,0.0881449164,0.8294132883
ZNF579,-0.4360232745,0.2426003899
RANBP1,0.0981360141,0.6755524951
SNRPD1,0.2216463788,0.2593009778
HR,-0.2976846943,0.4948377652
WBP5,-0.0184211369,0.9661589201
VCAN,-0.1090533729,0.631688084
TPGS2,0.0762292211,0.7183098403
VPS13D,0.000545494,0.9984226768
FRMD8,0.0679961545,1
FGFBP1,0.1232263473,0.624451088
DBI,0.0189030957,0.9627595024
C9orf69,0.0015522732,1
JRKL,-0.0593178355,0.9024190678
CRIP2,-0.1209518454,1
AKAP9,-0.2160395673,0.425464981
TSEN34,0.0287956509,0.9536488277
PBDC1,0.1260219553,0.6842972734
PDCD11,0.2105284881,0.0993932539
ESRRA,0.0936451509,0.8407522868
GSTT2,0.2734621263,0.4896575339
MTX1,0.0963393971,0.8485051904
ZNF12,-0.1794957374,0.6842972734
XIST,-0.1032879139,0.7479160921
RPS26,0.2264611048,1
GPAM,-0.1735779277,0.4997084022
KLHL18,0.322772033,0.0631867491
RPL22,0.2505305845,0.0796846138
SHROOM3,0.1720106734,0.3206678902
SMARCC1,-0.0452491141,0.8622156204
SPIRE1,0.0286918688,0.928288255
FBXL19,0.1809924689,0.5632623252
HNRNPA2B1,-0.0135445936,0.967757693
SNRPF,-0.1527727141,0.6811496544
ZNF318,0.0680483457,0.8494367184
MRPL48,0.0337930815,0.9426177912
C2orf68,-0.0231387632,0.9659213454
TIGD7,-0.2789655422,0.6430522757
NUTF2,0.0377492134,0.891088257
ABCC1,0.0533772323,0.8311807424
ANKRD17,-0.000935628,0.9972667958
NPM1,0.0339071288,0.9088238617
TBC1D14,0.0342781444,0.9247777407
LEPREL2,-0.0813152803,0.9013967748
CPSF4,-0.0969478022,0.7961556884
MPDZ,-0.0976100118,0.7646789532
NPIP,-0.024818376,0.9795462453
MARVELD3,-0.1247552941,0.6654912905
KIAA0232,0.0151776788,0.9663280896
VGLL4,-0.1755415687,0.2291298565
SNRPG,0.1343611756,1
PTRH2,0.2364440296,0.2670198143
IAH1,-0.1317760023,0.7740280619
EPG5,-0.0905620005,0.6974798349
UTP20,-0.0698706975,0.8710014159
ATXN7L3B,-0.1197899335,0.4722937392
LOC100506123,-0.0447262977,0.9035907064
DNAJC8,0.0179766332,0.9618636429
BASP1,-0.1421524218,0.6755524951
TIGD5,0.2235280098,0.7437820465
VPS72,0.1399728864,0.4009696849
SLC7A6,0.1566272682,0.387341961
LOC729737,0.126545227,0.8503254973
ST6GALNAC1,-0.0495365765,0.8888682003
HSF2BP,0.0592156342,0.8947401563
USP36,0.1368022012,0.6633099815
DNAJB5,0.2540447152,0.3050070031
KAT6A,-0.0145644123,0.964318156
FAM109A,0.0052784267,0.9944153145
FAM131A,-0.0753526719,0.8866010813
CEP95,-0.2082800908,0.4267243817
MARC2,-0.3358026562,0.6250691981
CCDC58,-0.3602148006,0.1583609526
HID1,0.1912495361,0.6753755375
KIF13A,-0.0822490642,0.6418861647
NOS1,0.0897207007,0.8769505704
FRG1,0.0175080782,0.9618636429
RPUSD1,0.2300902842,1
CCDC94,-0.014698258,0.9795462453
UBR5,-0.1412415338,0.4423232242
TGFBRAP1,0.0544772283,0.896983723
IDH2,-0.0113279986,0.9833861318
ABHD2,-0.2342661442,0.075650835
FBXL19-AS1,-0.1556938953,0.7553727913
PFDN6,0.2892190704,0.0857835987
PLD6,-0.2962497751,0.6369432552
CMTM8,0.0747695418,0.9426036772
HAUS1,-0.2908811774,0.4175586693
SNHG3,0.0050799362,0.9921413137
PRR5,-0.1594147851,0.8465022349
AHNAK2,-0.0933288681,0.5251502053
RCC2,0.0622085331,0.8115637747
INO80C,0.2933406595,0.2519879444
NR2C2,0.0005650488,0.9989807717
MKL2,-0.14101178,0.4873543117
GSTM1,-0.1817147306,0.7706255107
FJX1,-0.2401960049,0.301145797
TRMT112,0.0591211118,0.8648713207
H2AFV,-0.1172060467,0.6340124844
MRTO4,0.1478171763,0.6549580566
UBE2L3,0.1756207074,0.5538187445
NXT1,0.2030840704,0.5397539393
TKT,-0.0051365496,0.9912620254
SSH1,0.0492733223,0.8478209219
RFC1,-0.0471381082,0.8850802499
PGD,0.2075670926,0.3508985669
ZCCHC9,0.0026956626,0.9949466711
IRF2BP1,-0.049932283,0.930153962
NUCB2,-0.2774050211,0.4058378223
HNRNPD,-0.0294962742,0.928288255
CCDC106,0.0128518222,0.9884345849
NSA2,-0.0655414425,0.836964476
DSTYK,-0.1657495317,0.5142072468
NTM,0.0850209349,0.8458545926
PIM1,-0.0691199014,0.8503823633
DNAJC9,0.1185849903,0.6409771263
SIRT7,0.1125914264,0.7723140237
DOCK9,0.0444498203,0.8353137483
MPDU1,0.0852626155,0.7499113074
VWA7,0.1456224629,0.8752817645
FAM98C,-0.391721164,0.359031715
LOC100130705,0.0331965633,1
KIAA1671,-0.1647963904,0.2134330317
ZBTB7A,0.0159129637,0.9682118504
GLTP,0.172605211,0.4520111901
SSB,-0.1502176746,1
ISCA2,-0.3442907904,0.2985614018
TUG1,-0.1534493704,0.4953565085
TMEM25,0.1334750594,0.704558759
SCARA3,-0.34090247,0.2076351204
TBCA,0.2227912687,0.3533490164
ERP29,0.0248552804,0.9325685294
TBC1D2B,0.076818765,0.7918915334
FUS,0.0879986472,0.7183098403
NUDT3,0.0316380054,1
PRKDC,-0.00073041,0.9981615568
GCSH,0.0177683549,0.9863966479
HMGB2,-0.1381498697,0.6764558709
SKA2,-0.2749394213,0.1100376082
PIN4,0.2333671842,0.3648205385
PPP1R14A,-0.0994548266,0.9213068348
ZNF358,-0.117015767,0.7482139381
PCBP4,0.0544186941,0.896983723
ID3,-0.1884973732,0.5079018165
GCHFR,0.1816856841,0.8392153916
P4HTM,-0.317590268,0.5807310556
B3GNT3,0.1623713221,0.6235304745
DSN1,-0.0241570624,0.9736090064
SMIM11,0.235975193,0.6086759481
LINC00641,-0.2703985912,0.3353229035
ZNF814,-0.1998090622,0.7717109617
NDUFAF2,0.1829215557,0.5385533179
MUC20,-0.4887734413,1
PECR,-0.0302980729,0.9682118504
PELI3,0.0841592645,0.9072823955
FRAT2,-0.0434662138,0.9325685294
RRS1,0.2181006786,0.160347769
HCFC1R1,-0.1308756937,0.8148880143
METTL1,0.1038288132,0.8485051904
ATP6V0E2,-0.0237828046,0.9726969778
TMEM223,-0.019354676,0.9788206258
CCDC66,-0.1562256364,1
GINS3,0.2270029589,0.5542775419
KCTD7,-0.1957274054,0.6842972734
SNRPA,0.1636548067,0.3384526754
LRRC37A2,0.0528565244,0.9325685294
B9D1,0.2207793806,0.7227563265
TCEAL3,-0.1715004702,0.4662887525
TSPYL4,-0.2744713211,0.2522327093
SYTL2,-0.3294711253,0.301863985
RBP1,0.1636021543,0.5830830664
ZNF812,-0.279835256,0.248772129
MELK,-0.0429263008,0.9013967748
CEMP1,0.104140402,1
FBXO27,-0.0637513552,0.9013967748
RFC5,-0.1265424419,0.8373969488
CCDC74A,-0.3212539421,0.6340124844
ANKRD23,-0.2633209027,0.7365112359
TNFAIP8L1,-0.0865785134,0.8788364373
POLE2,-0.5739090682,0.2158800778
CNTNAP2,0.0751935859,0.9132084192
RSAD2,-0.2074004055,1
CMPK2,0.3369993929,1
MX2,1.467969789,1
OASL,0.2363815308,0.7492751744
IFI44L,1.0085801258,1
IFI6,1.1681505116,1
NEURL3,0.3445863992,1
ETV7,0.6545545811,1
ARC,-0.1043192169,1
SLC15A3,0.1857673552,0.8389533582
APOL3,-0.0270035216,0.9797180505
TEX14,0.0254816181,1
IFI27,2.3927413714,1
APOL1,0.0777828628,0.7463033918
PSMB9,0.7542515732,0.0544927031
BBC3,0.0867140029,0.9093034488
TNFSF13B,-0.4194318515,1
SNAI1,0.0659611487,1
BCL2L14,-0.145417887,1
TRIM22,0.1738298422,0.3710010603
FAM222A,-0.1458900306,1
NEFM,0.197908186,0.8138913103
MIR155HG,0.0195616224,1
NPR1,0.0195616224,1
KLF2,-0.4782249649,1
SECTM1,-0.1829596871,0.7737003743
IFNL4,0,1
RHEBL1,0.1131325338,1
ACTN2,0.0661300831,1
LOC100507463,-0.0792437196,1
IL7,0.0497394245,1
SCN3A,0,1
IL10RA,0.0833195244,1
PIK3AP1,-0.1340679498,1
TLR3,-0.3591080948,0.2224193943
POU3F1,-0.4781241648,1
C2CD4A,0.3087818189,1
SLC6A12,-0.0505766768,1
STX11,0.2298866946,0.7784088874
NOD2,0.601017656,0.2744793411
TRIM69,-0.1866278986,1
PTGER2,-0.2312700576,1
KLHDC7B,0.2829156646,1
OLR1,0.0965086843,0.9092363632
HLA-H,0.1710461819,0.8518471479
MAFA,0.0467162514,1
SCO2,0.2711160048,0.4092456248
IL12A,0.0738939443,1
PARP10,0.2692123449,1
SDPR,-0.2717420132,0.1881284154
C3AR1,-0.1234020217,1
KCNK5,-0.1581697961,1
KCNQ4,-0.2102746091,1
SP6,0.0073746134,0.9897766093
ADAMTS4,0.1416158769,1
GRIP2,0.2846868292,1
CCL22,0.4315288155,1
ST7-AS1,0.1171128085,1
SHISA2,-0.1237235513,1
PPM1K,-0.1098159269,0.8060413525
CD38,0,1
CHAC1,0.0529368785,0.9616626847
OVOL1,0.1873584428,0.6246503327
ID4,0.028423117,1
HDX,-0.2453366001,0.4928130126
RNF122,0.5192030933,0.0968958005
DLX3,-0.1594024285,0.8638460658
ADCY4,0.2301494797,0.781825677
CLIC2,0.121565818,1
RNF152,-0.0063158309,0.9931166488
SYNPO2,-0.4452744786,0.3509171461
TYMP,0.9123278448,1
HRASLS2,0.0774819272,0.9155766932
SLC5A1,0.1262134934,0.891088257
BAIAP3,0.0532288983,0.961534967
CRISPLD2,-0.0380172188,1
SLC8A2,-0.3242431962,0.6614603832
PRICKLE4,0.1174008396,0.7437820465
ZNF442,-0.2748506479,1
RBM11,-0.2451025165,1
EDN2,-0.0302282715,1
PTCHD2,0.1480920102,0.8752817645
ACTL10,0.1530587188,1
BCL2L11,-0.4941816921,0.0700948774
ANGPTL2,-0.1345582273,1
SEPT4,-0.1638657559,1
C11orf96,0.1404491327,1
ODF3B,0.5699696529,0.3157782361
ZNF296,0.1026134448,0.9187525397
GATA6,0.059934557,0.9291777413
C10orf10,0.1867652114,0.7393682654
HIST1H3H,-0.1601160247,1
SP8,-0.1103404922,1
HES4,-0.4257944473,0.4528681925
IL22RA1,0.060031162,0.9408700621
C2orf66,0.0396312933,0.9687441995
FGF2,-0.035090084,0.9726969778
XRCC2,-0.1141267302,0.8893085969
VAMP1,-0.3892660647,0.3347610877
WARS,0.1274723873,0.5609277321
VASN,-0.1951361294,0.813799852
DLX5,-0.3646966256,0.6070370963
SLC44A4,0.2943982405,0.111624266
CBX4,0.0394402808,0.9445466337
HSPA2,0.0157875643,0.9819428934
MEF2C,-0.0111704195,0.9921413137
WNT4,0.6962255882,1
AKAP7,-0.3291411918,0.6546013617
CDKN1C,-0.2519084876,0.7521137618
FIBIN,-0.3697116348,0.5816988537
SLCO4A1,0.3030973973,1
HSPA1B,0.1646997797,1
NFKBID,0.1344073109,0.852722002
TNFRSF9,-0.1513014234,1
HAPLN3,0.1525050854,0.852004769
ACHE,-0.1246510077,0.8950873623
HLA-C,0.09484833,0.7870815245
CCDC19,-0.0034891506,0.9972667958
ITIH4,0.2070294291,0.8039792352
DLX2,-0.1788557564,1
PALM,-0.4788303241,0.3775468502
MARCH3,-0.2078005645,1
FLT3LG,0.2933260829,0.7036230224
HIST1H2BJ,0.0506134253,0.9556141341
GCA,-0.0210518903,0.9818837721
FLJ35946,-0.0068593115,1
HAP1,-0.1443619262,0.8549280988
HES6,-0.2377927269,1
GATA3,-0.1184800144,0.8373354696
CPEB3,-0.309755598,0.6499673092
SYNM,-0.2486286977,0.7606686313
ABCD1,-0.1935461984,0.7088905725
TESK2,-0.3141416647,0.5347799369
MB21D1,0.1468920574,0.8752817645
HSD11B2,-0.0379065059,0.9705297266
LY6E,0.1437581443,0.7050366769
TGM5,0.6763429918,0.1292526895
ANKK1,0.0611461281,1
HLA-L,0.0603132516,0.9447348283
TYW1B,0.2004410552,1
RAD9A,-0.1031479848,0.8598465887
CALCRL,-0.5379803339,0.346715716
ADAMTS15,-0.3877378176,0.258507942
FBXO6,0.208868373,0.6294175665
HSD17B7P2,-0.4496438776,0.4098741375
HLA-DOB,-0.1913267655,0.6013030161
EGFLAM,0.2964090616,0.6709576855
CBR3-AS1,-0.2936479802,0.7082939877
ING1,0.1142216415,0.7573109473
MAP3K14,-0.296250116,0.5314358284
CARD17,-0.3029781534,0.6842972734
ZNF79,0.0513107704,0.9160905808
GEM,0.1800062652,0.8293902892
RET,-0.0243756976,0.9804421893
TNFAIP8L3,0.0035777516,0.997177901
JUN,0.097654953,0.5678289231
FAM108B1,-0.311333593,0.4934119621
RASEF,-0.2284512866,0.3765453808
HIST1H3D,0.0457437605,0.9649144004
PDE4B,0.5318154591,1
USP43,0.1508920677,0.7365112359
FAM26E,0.1348317592,0.8619133396
MSX2,-0.1549514735,1
RASSF5,-0.2324619968,0.3690029959
PLEKHA7,-0.1853158453,0.5183529975
CD40,0.2742805532,0.4402920755
SLC35E4,0.2316390448,0.7379913169
CDC42EP4,0.1097874647,0.7943108607
PAOX,0.3683617836,0.5436266611
CLUHP3,0.5126524633,0.1002468142
ADC,0.1024678288,0.8956092259
RASGEF1B,0.0818763064,0.9346557668
RASSF10,0.4841372633,0.4068903556
NFATC1,0.1977430734,0.7631011294
LIN52,-0.1191850887,0.8640326619
STK19,-0.0570599268,0.9250901569
FLI1-AS1,0.2592768318,1
SLC52A3,0.3690031133,0.5969563986
BMF,-0.0810412388,0.9344314429
NOD1,0.0408579006,0.9444046313
SLC45A4,0.0978708054,0.8896399177
LINC00673,-0.1384078969,0.6229870772
ARSI,-0.037435514,0.9534326462
BTN3A3,-0.0088012435,0.9884345849
LOC100505812,-0.0667950889,0.9474523369
RNF39,0.0555225074,0.9154186842
THAP3,0.2822677346,0.5079018165
ICOSLG,0.3587644196,0.5440543094
AVIL,-0.50073341,0.371355066
SOWAHB,0.1415358118,0.7180212003
TGIF1,0.1695615421,0.4555684798
CLCA3P,-0.0095727398,1
STOML1,0.5198941668,0.1348895961
RDH10,-0.2053446639,0.4048548348
RTKN2,-0.1526685149,0.8468551573
PI4K2B,0.1953761499,0.7522938136
MUC15,-0.2636362455,0.6166384904
FZD7,-0.052373488,0.954237321
GLCCI1,-0.0998415733,0.8576304547
SLC39A8,0.4031208724,0.3581268604
IMPA1,-0.1483003591,0.7424653381
CCT6P1,-0.086272272,0.9299120577
HLA-A,0.1909941534,1
KCNS3,0.150785511,0.7414686906
NXT2,0.1028960693,0.89038159
BMP4,-0.5170577923,0.2387094514
SLC24A6,0.240586084,0.3812809804
IFI30,0.0496005707,0.9212049727
HEXDC,0.1567148003,0.8469060307
KLF9,-0.2588959562,0.2455138455
ZNF503,-0.0273368284,0.9726969778
SOX21,-0.2900172205,0.7120022635
BTN3A2,-0.1398112703,0.606463953
CCDC9,0.1319397908,0.755705378
DLC1,-0.1998837968,0.728191917
LOC388692,0.0163479451,0.977307645
FLJ11235,-0.4631968368,1
EMC9,0.240943248,0.6832097424
ZNF799,-0.0691606073,0.9433537196
FAM53C,0.0166324157,0.960469469
PION,0.6640323099,0.0938314944
PKIB,-0.017891478,0.9863966479
LYPLA1,0.15099321,0.6291606023
ZNF461,-0.3265293921,0.4653451599
FZD8,0.4093308054,0.4862742545
THAP9-AS1,-0.0102621009,0.9865297016
HIST3H2A,0.0790757611,0.9325685294
DOM3Z,0.3587953102,0.346715716
FMNL1,0.2823961545,0.6793718448
SPRY1,-0.0994729463,0.89038159
TSKU,-0.0061074167,0.9912620254
VAMP5,0.1812936633,0.8271537134
FOXC1,-0.1977753109,0.2583182386
ATF5,0.1139360425,0.6549580566
